student_id,student_type,subtype,timestep,marks,study_hours,attendance_pct,assignment_completion,sleep_hours,focus_score
STU0001,declining,slow_decliner,1,59,3.8,74,0.83,6.1,7.4
STU0001,declining,slow_decliner,2,56,3.5,74,0.76,6.2,6.6
STU0001,declining,slow_decliner,3,51,3.7,70,0.7,5.9,6.3
STU0001,declining,slow_decliner,4,46,3.5,66,0.64,5.7,6.2
STU0001,declining,slow_decliner,5,53,3.0,70,0.58,5.5,5.9
STU0001,declining,slow_decliner,6,48,3.2,60,0.53,5.3,5.7
STU0002,stable,low_stable,1,34,0.7,58,0.57,5.4,3.5
STU0002,stable,low_stable,2,44,1.3,62,0.58,5.1,3.2
STU0002,stable,low_stable,3,44,1.4,63,0.6,5.6,4.0
STU0002,stable,low_stable,4,37,0.8,62,0.55,4.6,3.2
STU0002,stable,low_stable,5,35,1.1,63,0.55,5.1,3.7
STU0002,stable,low_stable,6,39,1.7,58,0.57,5.4,3.6
STU0003,improving,late_bloomer,1,54,3.4,75,0.61,7.0,6.3
STU0003,improving,late_bloomer,2,56,3.1,74,0.63,7.1,6.8
STU0003,improving,late_bloomer,3,52,3.3,76,0.67,7.0,6.9
STU0003,improving,late_bloomer,4,78,5.3,92,0.7,7.0,7.0
STU0003,improving,late_bloomer,5,87,5.8,93,0.74,7.5,7.3
STU0003,improving,late_bloomer,6,89,6.0,95,0.77,7.5,7.6
STU0004,declining,fast_decliner,1,71,6.4,93,0.7,7.1,8.1
STU0004,declining,fast_decliner,2,61,6.1,89,0.64,7.2,7.9
STU0004,declining,fast_decliner,3,58,5.6,80,0.61,6.8,7.7
STU0004,declining,fast_decliner,4,55,4.9,84,0.53,6.6,7.3
STU0004,declining,fast_decliner,5,53,4.7,80,0.46,6.5,7.1
STU0004,declining,fast_decliner,6,48,3.9,75,0.43,6.3,6.9
STU0005,improving,fast_improver,1,50,5.7,78,0.68,7.8,7.9
STU0005,improving,fast_improver,2,52,6.2,79,0.68,7.9,7.8
STU0005,improving,fast_improver,3,58,6.7,82,0.74,8.0,8.4
STU0005,improving,fast_improver,4,70,7.2,82,0.76,8.2,8.7
STU0005,improving,fast_improver,5,78,7.7,88,0.78,8.0,9.0
STU0005,improving,fast_improver,6,75,8.2,93,0.82,8.2,8.6
STU0006,improving,fast_improver,1,37,4.5,80,0.83,7.0,8.6
STU0006,improving,fast_improver,2,45,5.0,86,0.88,6.8,8.7
STU0006,improving,fast_improver,3,52,5.3,91,0.9,7.1,8.9
